timestamp,hit_at_5,mrr,precision_at_5,recall_at_5,faithfulness,answer_relevance,context_relevance,retrieval_time_sec,generation_time_sec,total_time_sec,num_retrieved,num_ground_truth,retrieved_books,ground_truth,rag_method,llm_model,query,query_type,logic
2025-11-27T21:59:30.966272,1.0,0.25,0.4,0.1,0.5,0.5,0.5,10.02,44.242,54.262,10,20,Navigating Early; Battle in the Overworld; Breakaway; Nightmare of the iguana; Quirk's quest. The lost and the found,The gutsy girl : escapades for your life of epic adventure; Adventure time. Volume 12; Conan : the complete quest.; The story of the blue planet; Nightmare of the iguana,hyde,tinyllama,adventure OR quest,topic,OR
2025-11-27T22:01:20.451879,1.0,0.2,0.2,0.05,0.5,0.5,0.5,20.278,38.307,58.585,10,20,A fine and bitter snow; Of mice and magic; The witchwood crown; The edge of dreams; Oliver,Secrets of a proper countess; Deep fantasy; Not my blood; The trial; Walk away,hyde,tinyllama,fantasy OR fiction,topic,OR
2025-11-27T22:02:49.007320,1.0,0.2,0.2,0.05,0.5,0.5,0.5,13.533,47.519,61.052,10,20,Dan's plan; Understand your self; Primer día en las uvas; Viral; Amid stars and darkness,Secrets of a proper countess; Not my blood; The trial; Walk away; Eva y la tarta,hyde,tinyllama,juvenile fiction,topic,OR
2025-11-27T22:04:12.952419,1.0,0.2,0.2,0.05,0.5,0.5,0.5,19.514,30.725,50.239,10,20,"Love, lies and spies; Pretty, nasty, lovely; Love like blood; Falling for June : a novel; Always a bridesmaid",Secrets of a proper countess; Not my blood; The trial; Walk away; Eva y la tarta,hyde,tinyllama,romance fiction,topic,OR
2025-11-27T22:05:16.680767,1.0,0.25,0.2,0.07142857142857142,0.5,0.5,0.5,0.471,32.631,33.102,8,14,Hiddensee : a tale of the once and future Nutcracker; The king of bones and ashes : a witches of New Orleans novel; Howl's moving castle; Lulu and the witch baby; Midnight cravings,The Near Witch; You wouldn't want to be a Salem witch! : bizarre accusations you'd rather not face; Wicked : the life and times of the wicked witch of the West; Six women of Salem : the untold story of the accused and their accusers in the Salem witch trials; The lazy dragon and the bumblespells wizard,subgraph,tinyllama,witch OR wizard,topic,OR
2025-11-27T22:06:15.459594,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.743,29.795,30.538,10,20,"1-2-3 magic teen : communicate, connect, and guide your teen to adulthood; Dragonbreath; Nightmare of the iguana; Monsters eat whiny children; Small Walt and Mo the Tow",Of mice and magic; 1-2-3 magic : effective discipline for children 2-12; The magic gourd ; a West African folktale; The magic school bus at the waterworks; A tale of highly unusual magic,subgraph,tinyllama,dragon OR magic,topic,OR
2025-11-27T22:07:03.108763,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.504,20.397,20.901,10,20,Like normal people; Dark triumph; Margret & H.A. Rey's Curious George goes to the beach; Flicker flash; John of the mountains; the unpublished journals of John Muir,"The Greek upheaval : kings, demagogues, and bayonets; Report of the King County Regional Planning Commission to the Honorable Board of County Commissioners of King County, Washington : July, 1927.; King of shadows; The new juvenile court building; Queen Anne buyer's guide and community profile : Queen Anne Chamber of Commerce 1988",subgraph,tinyllama,king OR queen OR kingdom,topic,OR
2025-11-27T22:07:54.738739,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.517,24.712,25.229,1,20,Joe Kidd,The gutsy girl : escapades for your life of epic adventure; Adventure time. Volume 12; Conan : the complete quest.; The story of the blue planet; Nightmare of the iguana,subgraph,tinyllama,adventure OR quest,topic,OR
2025-11-27T22:09:07.026304,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.362,48.463,48.825,10,20,The fairies of Sadieville; The witchwood crown; Dashing through the snow : a Christmas novel; Hard-boiled wonderland and the end of the world : a novel; Epic : legends of fantasy,Secrets of a proper countess; Deep fantasy; Not my blood; The trial; Walk away,subgraph,tinyllama,fantasy OR fiction,topic,OR
2025-11-27T22:10:33.098667,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.395,47.616,48.011,10,20,"Ella, the elegant elephant; The saggy baggy elephant; Rapunzel : a day to remember; Horton hears a Who!; Babar on Paradise Island",Secrets of a proper countess; Not my blood; The trial; Walk away; Eva y la tarta,subgraph,tinyllama,juvenile fiction,topic,OR
2025-11-27T22:11:36.725952,1.0,1.0,0.2,0.05,0.5,0.5,0.5,0.394,31.458,31.853,10,20,Always a bridesmaid; On Turpentine Lane; Falling for June : a novel; Dashing through the snow : a Christmas novel; The trouble with Scotland,Secrets of a proper countess; Not my blood; The trial; Walk away; Eva y la tarta,subgraph,tinyllama,romance fiction,topic,OR
2025-11-27T22:14:00.506018,1.0,1.0,0.6,0.21428571428571427,0.5,0.5,0.5,0.151,34.212,34.363,10,14,The Near Witch; The witchwood crown; The lazy dragon and the bumblespells wizard; Harry Potter : a journey through a history of magic.; You wouldn't want to be a Salem witch! : bizarre accusations you'd rather not face,The Near Witch; You wouldn't want to be a Salem witch! : bizarre accusations you'd rather not face; Wicked : the life and times of the wicked witch of the West; Six women of Salem : the untold story of the accused and their accusers in the Salem witch trials; The lazy dragon and the bumblespells wizard,vector,tinyllama,witch OR wizard,topic,OR
2025-11-27T22:15:31.818403,1.0,1.0,0.6,0.15,0.5,0.5,0.5,0.165,29.72,29.884,10,20,"The dragon's eye; Dragonheart. 3, The sorcerer's curse; Raising dragons; The lazy dragon and the bumblespells wizard; The dragon at the North Pole",Of mice and magic; 1-2-3 magic : effective discipline for children 2-12; The magic gourd ; a West African folktale; The magic school bus at the waterworks; A tale of highly unusual magic,vector,tinyllama,dragon OR magic,topic,OR
2025-11-27T22:16:40.310341,1.0,0.3333333333333333,0.4,0.1,0.5,0.5,0.5,0.161,42.188,42.349,10,20,The last kingdom. Season two; Kids who rule : the remarkable lives of five child monarchs; Queen Alexandra.; The sea queen : a novel; King John : an underrated king,"The Greek upheaval : kings, demagogues, and bayonets; Report of the King County Regional Planning Commission to the Honorable Board of County Commissioners of King County, Washington : July, 1927.; King of shadows; The new juvenile court building; Queen Anne buyer's guide and community profile : Queen Anne Chamber of Commerce 1988",vector,tinyllama,king OR queen OR kingdom,topic,OR
2025-11-27T22:18:09.108405,1.0,0.5,0.4,0.1,0.5,0.5,0.5,0.167,45.777,45.944,10,20,"Navigating Early; Quirk's quest. The lost and the found; Desert solitaire : a season in the wilderness; The circus of adventure; Adventure time. [12], Thunder Road",The gutsy girl : escapades for your life of epic adventure; Adventure time. Volume 12; Conan : the complete quest.; The story of the blue planet; Nightmare of the iguana,vector,tinyllama,adventure OR quest,topic,OR
2025-11-27T22:19:51.231577,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.171,57.98,58.151,10,20,Epic : legends of fantasy; The magician king : a novel; The witchwood crown; Smoke and mirrors; Under Wildwood,Secrets of a proper countess; Deep fantasy; Not my blood; The trial; Walk away,vector,tinyllama,fantasy OR fiction,topic,OR
2025-11-27T22:20:48.202446,1.0,0.2,0.2,0.05,0.5,0.5,0.5,0.154,28.254,28.409,10,20,Wonder; Red ink; Night on fire; Viral; Amid stars and darkness,Secrets of a proper countess; Not my blood; The trial; Walk away; Eva y la tarta,vector,tinyllama,juvenile fiction,topic,OR
2025-11-27T22:21:51.877838,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.163,24.887,25.05,10,20,"Insider; Love, lies and spies; Magic and desire; Henry and the Valentine surprise; Mine",Secrets of a proper countess; Not my blood; The trial; Walk away; Eva y la tarta,vector,tinyllama,romance fiction,topic,OR
2025-11-27T22:25:03.010165,1.0,1.0,0.8,0.2857142857142857,0.5,0.5,0.5,23.943,48.924,72.867,10,14,The unofficial guide to crafting the world of Harry Potter : 30 magical crafts for witches and wizards -- from pencil wands to house colors tie-dye shirts; The lazy dragon and the bumblespells wizard; The Near Witch; You wouldn't want to be a Salem witch! : bizarre accusations you'd rather not face; Bedknobs and broomsticks,The Near Witch; You wouldn't want to be a Salem witch! : bizarre accusations you'd rather not face; Wicked : the life and times of the wicked witch of the West; Six women of Salem : the untold story of the accused and their accusers in the Salem witch trials; The lazy dragon and the bumblespells wizard,multiquery,tinyllama,witch OR wizard,topic,OR
2025-11-27T22:26:07.360171,1.0,1.0,0.8,0.2,0.5,0.5,0.5,5.156,27.063,32.219,10,20,"The dragon's eye; The lazy dragon and the bumblespells wizard; Dragonheart. 3, The sorcerer's curse; The magician king : a novel; The dragon at the North Pole",Of mice and magic; 1-2-3 magic : effective discipline for children 2-12; The magic gourd ; a West African folktale; The magic school bus at the waterworks; A tale of highly unusual magic,multiquery,tinyllama,dragon OR magic,topic,OR
2025-11-27T22:27:41.028590,1.0,1.0,0.8,0.2,0.5,0.5,0.5,12.208,50.382,62.59,10,20,Queen Alexandra.; Royal progress; one hundred years of British monarchy.; Elizabeth crowned queen; the pictorial record of the coronation.; The sea queen : a novel; King John : an underrated king,"The Greek upheaval : kings, demagogues, and bayonets; Report of the King County Regional Planning Commission to the Honorable Board of County Commissioners of King County, Washington : July, 1927.; King of shadows; The new juvenile court building; Queen Anne buyer's guide and community profile : Queen Anne Chamber of Commerce 1988",multiquery,tinyllama,king OR queen OR kingdom,topic,OR
2025-11-27T22:29:04.996436,1.0,1.0,0.8,0.2,0.5,0.5,0.5,12.445,30.128,42.573,10,20,"Quirk's quest. The lost and the found; Navigating Early; Conan : the complete quest.; Nightmare of the iguana; Adventure time. [12], Thunder Road",The gutsy girl : escapades for your life of epic adventure; Adventure time. Volume 12; Conan : the complete quest.; The story of the blue planet; Nightmare of the iguana,multiquery,tinyllama,adventure OR quest,topic,OR
2025-11-27T22:30:16.774698,0.0,0.0,0.0,0.0,0.5,0.5,0.5,6.466,29.855,36.32,10,20,Epic : legends of fantasy; The witchwood crown; Under Wildwood; Prince Caspian : the return to Narnia; Earth bound,Secrets of a proper countess; Deep fantasy; Not my blood; The trial; Walk away,multiquery,tinyllama,fantasy OR fiction,topic,OR
2025-11-27T22:31:44.502926,0.0,0.14285714285714285,0.0,0.0,0.5,0.5,0.5,4.884,40.392,45.277,10,20,The cay.; Primer día en las uvas; Red ink; Night on fire; The storyteller,Secrets of a proper countess; Not my blood; The trial; Walk away; Eva y la tarta,multiquery,tinyllama,juvenile fiction,topic,OR
2025-11-27T22:32:58.177443,0.0,0.0,0.0,0.0,0.5,0.5,0.5,11.314,32.107,43.421,10,20,"Love, lies and spies; Via revolucionaria; Superlove; Insider; Mine",Secrets of a proper countess; Not my blood; The trial; Walk away; Eva y la tarta,multiquery,tinyllama,romance fiction,topic,OR
